element_name,age,cond_rating,random,material,area_sqm
A741,18,66.9,2,plastic,28.9
A742,9,20.5,2,plastic,67.4
A743,4,47.8,1,metal,44.3
A744,9,58.4,2,plastic,89
A745,6,40.5,3,concrete,13.4
A746,11,51.2,2,plastic,74.8
A747,3,82.6,5,titanium,16.9
A748,5,56.8,5,titanium,22.4
A749,20,81.1,1,metal,53.6
A750,2,55.9,1,metal,91.1
A751,14,58.2,1,metal,70.4
A752,16,78.6,4,cast-iron,77.9
A753,18,72.2,3,concrete,12.6
A754,7,39.9,3,concrete,62
A755,11,97.3,2,plastic,63.5
A756,10,50.5,3,concrete,81.9
A757,11,74,5,titanium,71.3
A758,16,57.5,3,concrete,90.4
A759,16,87.8,4,cast-iron,13.9
A760,10,79.7,2,plastic,76
A761,17,22.7,3,concrete,71.1
A762,2,47.2,1,metal,65.8
A763,3,41.2,1,metal,39.6
A764,16,82.5,3,concrete,70.8
A765,13,97.2,4,cast-iron,60.9
A766,15,47.2,4,cast-iron,42.4
A767,19,85.4,1,metal,93.3
A768,16,25.9,1,metal,23.6
A769,0,57.6,4,cast-iron,73.2
A770,13,11.9,4,cast-iron,15.6
A771,12,51.8,4,cast-iron,75.3
A772,3,54.2,2,plastic,91.4
A773,17,30.3,5,titanium,66.2
A774,11,87.8,2,plastic,9.5
A775,7,37.6,4,cast-iron,61.9
A776,20,47,4,cast-iron,36
A777,5,14.8,1,metal,10.9
A778,16,14.6,3,concrete,22.2
A779,5,54.2,4,cast-iron,79.3
A780,3,28.4,3,concrete,40.9
A781,7,44.6,3,concrete,17.2
A782,7,48.7,4,cast-iron,31.3
A783,4,36.4,5,titanium,89.9
A784,0,21.2,5,titanium,64.3
A785,5,49.5,2,plastic,52.4
A786,19,93.9,2,plastic,79.6
A787,7,98.1,5,titanium,12.2
A788,5,75.4,2,plastic,61.3
A789,9,76.8,4,cast-iron,11.2
A790,19,33.4,2,plastic,61.5
A791,2,76.1,5,titanium,38.7
A792,13,16.1,5,titanium,78.9
A793,12,79.5,4,cast-iron,21.5
A794,10,52.5,3,concrete,45.6
A795,2,15,2,plastic,19.5
A796,5,40.4,3,concrete,73.4
A797,12,53.5,2,plastic,10
A798,1,93.1,5,titanium,10.9
A799,6,63,1,metal,20
A800,13,60.9,2,plastic,78
A801,11,84.2,3,concrete,38.6
A802,5,27.4,5,titanium,73.5
A803,14,21.2,2,plastic,20.1
A804,8,67.7,4,cast-iron,63.2
A805,17,87.8,3,concrete,50.3
A806,20,57.7,4,cast-iron,56.5
A807,2,69.3,2,plastic,16.2
A808,6,69.1,2,plastic,55.7
A809,13,85.8,4,cast-iron,44.3
A810,3,50.7,2,plastic,38.1
A811,11,91.6,4,cast-iron,70.3
A812,12,74.5,5,titanium,35.1
A813,9,36.1,2,plastic,45.5
A814,9,94.4,3,concrete,70.9
A815,16,78.6,4,cast-iron,67.1
A816,17,55,4,cast-iron,85.8
A817,8,89.7,2,plastic,82.3
A818,19,18.6,5,titanium,64.2
A819,6,31.8,3,concrete,47.4
A820,6,11.3,2,plastic,57.5
A821,0,51.9,4,cast-iron,32.1
A822,5,54.2,3,concrete,25.9
A823,13,29.7,5,titanium,76.6
A824,12,21.8,1,metal,71.5
A825,0,48.9,1,metal,40.4
A826,5,70,3,concrete,40
A827,16,73.3,1,metal,19.4
A828,20,27.1,2,plastic,27.9
A829,17,20.1,2,plastic,36.3
A830,14,27.4,3,concrete,88.7
A831,16,33.7,3,concrete,49.6
A832,10,57.9,2,plastic,11.6
A833,8,29,2,plastic,26.2
A834,11,47.2,5,titanium,16.4
A835,14,16.3,3,concrete,89.9
A836,7,48.4,4,cast-iron,38.1
A837,5,72.8,5,titanium,26.4
A838,18,56.9,1,metal,90.3
A839,6,62,2,plastic,55.4
A840,8,95,4,cast-iron,22.2
A841,11,56,3,concrete,33.6
A842,8,71.7,4,cast-iron,91.5
A843,7,36.7,3,concrete,51.5
A844,4,34.1,1,metal,87.5
A845,3,29.2,4,cast-iron,51
A846,6,23.4,1,metal,14.1
A847,17,98.1,5,titanium,17.9
A848,20,26.1,3,concrete,25.2
A849,10,92.4,2,plastic,10.8
A850,0,71,5,titanium,66.4
A851,4,51.3,3,concrete,46
A852,10,78,3,concrete,32.6
A853,5,56.6,1,metal,59.2
A854,9,91.8,4,cast-iron,12.9
A855,3,51.8,1,metal,22
A856,6,82.4,1,metal,58.8
A857,4,24.9,2,plastic,27.2
A858,14,16,5,titanium,32.4
A859,14,99.3,2,plastic,78.3
A860,13,79.2,4,cast-iron,21.3
A861,20,68.9,1,metal,66.2
A862,11,43.3,3,concrete,88.7
A863,14,21.1,1,metal,48
A864,10,38.8,2,plastic,9.9
A865,14,75.2,5,titanium,14.2
A866,19,10.7,5,titanium,36.1
A867,10,71.5,1,metal,88.9
A868,14,31.4,2,plastic,19.4
A869,11,24.3,5,titanium,78
A870,14,67.9,1,metal,66
A871,6,61,5,titanium,29.4
A872,10,10.1,3,concrete,38.8
A873,1,71.7,4,cast-iron,59.5
A874,18,75.5,1,metal,10.3
A875,19,94.1,1,metal,19.2
A876,20,58.9,1,metal,55
A877,16,71.8,5,titanium,83.5
A878,18,51.2,3,concrete,55.5
A879,11,40.7,4,cast-iron,39.5
A880,6,36.7,3,concrete,85.1
A881,10,66.6,5,titanium,43.1
A882,0,42.3,2,plastic,31.7
A883,12,95,3,concrete,71.5
A884,6,71.3,3,concrete,63.5
A885,10,50.3,2,plastic,86.9
A886,13,33,5,titanium,23.7
A887,5,24.7,1,metal,22.3
A888,9,46.3,1,metal,31.3
A889,19,32.3,1,metal,34.5
A890,19,99.4,1,metal,72.4
A891,9,86.2,5,titanium,39.4
A892,9,92.7,4,cast-iron,16.8
A893,2,69.4,2,plastic,46.5
A894,14,16,4,cast-iron,28.8
A895,1,65.2,5,titanium,24.6
A896,13,87.7,5,titanium,66.5
A897,12,17,3,concrete,26.6
A898,16,43.6,5,titanium,72.2
A899,12,62.9,3,concrete,59.2
A900,2,50.8,5,titanium,49.7
A901,20,54.6,3,concrete,18.2
A902,15,47.3,2,plastic,27.9
A903,19,16,3,concrete,34.7
A904,8,35.1,2,plastic,82.7
A905,14,86.1,4,cast-iron,68.3
A906,2,51.3,5,titanium,74.4
A907,6,53.6,4,cast-iron,32.7
A908,3,65.8,2,plastic,48.9
A909,13,19.7,5,titanium,28.6
A910,17,88.7,2,plastic,28
A911,0,32.9,2,plastic,14.8
A912,14,54.1,3,concrete,69.4
A913,15,52.8,4,cast-iron,46.1
A914,8,80.2,4,cast-iron,46.7
A915,2,32.8,3,concrete,84.6
A916,5,36.1,5,titanium,10.5
A917,7,20.3,5,titanium,46
A918,5,49.1,1,metal,59.6
A919,14,91,1,metal,52.9
A920,15,99.5,5,titanium,18.1
A921,7,72.2,5,titanium,69
A922,16,60.1,1,metal,65.9
A923,10,42.8,1,metal,50.4
A924,18,16.6,4,cast-iron,80.2
A925,12,79.1,5,titanium,72.8
A926,2,12.3,2,plastic,56.6
A927,1,30.1,4,cast-iron,86.2
A928,4,43.8,3,concrete,54.7
A929,9,20.9,2,plastic,35.3
A930,15,29.1,2,plastic,24.3
A931,7,74.3,1,metal,91.3
A932,8,64.5,3,concrete,21
A933,13,43.5,3,concrete,21
A934,11,52.5,5,titanium,93.3
A935,16,97.6,4,cast-iron,30.4
A936,17,12.4,4,cast-iron,11.2
A937,3,11.5,3,concrete,64
A938,13,20,2,plastic,14.2
A939,15,70.1,5,titanium,72.4
A940,9,16.7,4,cast-iron,79.4
A941,12,75.5,2,plastic,18.8
A942,12,87.2,3,concrete,22.2
A943,13,67.9,2,plastic,70.9
A944,16,31.3,2,plastic,47.2
A945,20,19.7,5,titanium,72.1
A946,6,48.3,4,cast-iron,68.8
A947,1,98.9,3,concrete,17.1
A948,7,66,1,metal,78.6
A949,18,35.8,2,plastic,12.3
A950,20,19.4,2,plastic,40.2
A951,2,14.8,1,metal,18
A952,1,38.5,4,cast-iron,41.6
A953,4,81.7,2,plastic,21.6
A954,20,36.6,5,titanium,74.1
A955,0,90.4,2,plastic,90.8
A956,6,61,5,titanium,38.5
A957,10,75.8,1,metal,19
A958,4,95.2,4,cast-iron,57.5
A959,9,46.6,4,cast-iron,67
A960,14,66.9,4,cast-iron,82.8
A961,2,47.7,1,metal,40
A962,10,10.6,4,cast-iron,40.6
A963,18,67.5,5,titanium,27
A964,5,48.7,5,titanium,82.6
A965,17,97.7,5,titanium,11
A966,10,94.6,4,cast-iron,45.2
A967,19,44.9,1,metal,83.8
A968,17,45.1,1,metal,49.6
A969,8,63.7,3,concrete,38.9
A970,13,49.7,3,concrete,44.4
A971,17,17.6,2,plastic,81.8
A972,16,88.1,5,titanium,44.7
A973,14,86.2,4,cast-iron,47.3
A974,3,80.6,2,plastic,67.7
A975,8,42.6,4,cast-iron,13.3
A976,17,73.9,1,metal,68.1
A977,3,40.6,3,concrete,13.9
A978,19,37,1,metal,67.5
A979,2,40.7,2,plastic,67.3
A980,18,38.4,2,plastic,10.2
A981,1,84.5,4,cast-iron,46.9
A982,11,66.9,1,metal,65
A983,11,81.1,4,cast-iron,69.4
A984,10,31.5,2,plastic,24.7
A985,6,10.6,5,titanium,38.6
A986,8,65.2,3,concrete,13.7
A987,7,18.2,3,concrete,84.2
A988,14,74,5,titanium,59.7
A989,5,76.9,2,plastic,25.6
A990,19,75.3,4,cast-iron,84.2
A991,12,82.5,2,plastic,44
A992,4,43.7,5,titanium,46.1
A993,14,89,4,cast-iron,25.6
A994,4,53.8,3,concrete,28.8
A995,12,93.6,1,metal,56.3
A996,19,69.6,2,plastic,15.4
A997,12,72.4,2,plastic,74.8
A998,9,69.7,5,titanium,77.9
A999,8,49.4,1,metal,9.4
A1000,16,99.3,2,plastic,38
